water_id,user_id,liters,date
1,87,3.4,2026-02-08
2,4,1.4,2026-01-19
3,21,1.1,2026-02-07
4,54,3.4,2026-02-09
5,99,0.9,2026-02-26
6,29,2.8,2026-01-06
7,47,1.8,2026-02-19
8,22,3.1,2026-01-05
9,87,2.7,2026-01-11
10,25,3.4,2026-02-13
11,57,1.3,2026-01-08
12,93,0.6,2026-02-16
13,4,3.5,2026-02-20
14,36,2.8,2026-02-06
15,72,2.0,2026-02-04
16,86,2.0,2026-01-25
17,99,2.0,2026-01-20
18,79,2.1,2026-01-14
19,96,1.2,2026-01-04
20,7,1.5,2026-02-17
21,56,0.7,2026-02-09
22,94,1.5,2026-03-05
23,58,3.4,2026-03-07
24,36,2.6,2026-01-05
25,92,1.0,2026-01-01
26,41,2.6,2026-01-28
27,84,2.2,2026-02-08
28,61,0.9,2026-03-06
29,38,3.3,2026-03-01
30,52,1.7,2026-01-15
31,75,0.5,2026-01-28
32,32,2.8,2026-03-02
33,97,3.0,2026-01-14
34,38,2.6,2026-03-09
35,22,2.6,2026-01-30
36,29,1.7,2026-02-03
37,90,1.2,2026-01-16
38,9,3.0,2026-02-21
39,99,0.9,2026-01-12
40,91,3.2,2026-01-31
41,66,2.7,2026-03-02
42,16,1.5,2026-02-10
43,75,3.2,2026-02-10
44,35,2.2,2026-02-18
45,61,1.1,2026-01-28
46,58,2.4,2026-02-12
47,16,1.0,2026-01-19
48,28,0.9,2026-02-09
49,43,3.4,2026-02-25
50,48,1.8,2026-01-24
51,97,2.4,2026-01-27
52,49,1.4,2026-01-13
53,13,2.2,2026-01-01
54,18,2.6,2026-02-28
55,46,1.6,2026-01-19
56,40,1.2,2026-01-05
57,43,3.1,2026-02-13
58,52,0.8,2026-02-10
59,40,0.8,2026-01-28
60,63,1.5,2026-01-16
61,42,1.1,2026-01-21
62,11,0.6,2026-02-17
63,30,1.0,2026-03-04
64,47,1.9,2026-01-31
65,95,1.9,2026-03-10
66,83,2.2,2026-01-24
67,21,2.2,2026-02-09
68,44,1.3,2026-02-14
69,39,2.9,2026-01-30
70,42,2.0,2026-02-23
71,15,3.5,2026-01-14
72,84,3.2,2026-01-11
73,98,1.5,2026-03-05
74,49,3.2,2026-02-14
75,7,0.8,2026-03-07
76,86,2.9,2026-02-19
77,37,3.2,2026-02-22
78,96,1.2,2026-02-06
79,65,3.3,2026-01-23
80,21,1.8,2026-01-05
81,6,0.7,2026-01-14
82,33,2.9,2026-02-14
83,13,2.8,2026-01-24
84,30,2.5,2026-01-06
85,80,0.8,2026-03-10
86,51,1.0,2026-02-09
87,58,3.1,2026-01-21
88,21,2.7,2026-03-01
89,81,0.6,2026-02-26
90,83,3.2,2026-03-01
91,72,2.9,2026-01-02
92,100,2.1,2026-02-11
93,51,0.8,2026-02-04
94,99,1.7,2026-01-24
95,74,1.3,2026-01-22
96,32,2.4,2026-03-08
97,69,2.0,2026-01-11
98,25,3.4,2026-02-08
99,10,2.9,2026-01-27
100,100,0.9,2026-01-14
101,34,1.8,2026-03-01
102,78,1.3,2026-02-09
103,4,1.1,2026-02-01
104,12,2.0,2026-01-09
105,83,2.1,2026-02-13
106,4,2.1,2026-02-10
107,5,0.9,2026-02-07
108,18,1.0,2026-03-05
109,11,1.2,2026-01-06
110,2,2.6,2026-01-07
111,20,2.2,2026-01-15
112,74,0.6,2026-03-10
113,87,0.5,2026-01-10
114,54,1.9,2026-01-31
115,45,2.0,2026-01-29
116,19,2.8,2026-02-22
117,84,1.5,2026-01-14
118,99,2.7,2026-03-04
119,86,3.4,2026-02-10
120,20,3.0,2026-02-09
121,29,0.8,2026-01-15
122,72,2.2,2026-03-03
123,22,3.4,2026-02-17
124,32,2.3,2026-01-02
125,13,1.1,2026-01-03
126,21,2.5,2026-01-25
127,80,2.1,2026-02-05
128,5,0.8,2026-03-02
129,28,1.2,2026-01-18
130,65,3.3,2026-02-15
131,27,1.4,2026-02-04
132,38,0.9,2026-03-03
133,43,1.3,2026-02-22
134,48,3.1,2026-03-10
135,91,1.0,2026-01-28
136,83,2.0,2026-01-28
137,62,2.5,2026-01-03
138,72,2.5,2026-01-29
139,43,1.3,2026-01-29
140,38,1.4,2026-02-03
141,90,1.7,2026-01-01
142,18,2.6,2026-01-08
143,100,3.1,2026-03-08
144,68,2.6,2026-01-27
145,69,0.9,2026-01-27
